;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
96;7;H. (Herman) Wegter;M;294586;4672;ChristenUnie;5;5;36;14;37;63;5;0.0;36
97;8;A. (Anja) Haga;V;294586;2262;ChristenUnie;5;5;36;14;37;63;5;0.0;36
98;9;I.S. (Ixora) Balootje;V;294586;2111;ChristenUnie;5;5;36;14;37;63;5;0.0;36
99;10;A. (Ard) Kleijer;M;294586;923;ChristenUnie;5;5;36;14;37;63;5;0.0;36
100;11;J. (Jan) de Wit;M;294586;457;ChristenUnie;5;5;36;14;37;63;5;0.0;36
101;12;M.A. (Martine) Vonk;V;294586;1230;ChristenUnie;5;5;36;14;37;63;5;0.0;36
102;13;B.D. (Bert) Tijhof;M;294586;1338;ChristenUnie;5;5;36;14;37;63;5;0.0;36
103;14;P. (Paul) Blokhuis;M;294586;615;ChristenUnie;5;5;36;14;37;63;5;0.0;36
104;15;A.B.M. (Arnout) van Kempen;M;294586;370;ChristenUnie;5;5;36;14;37;63;5;0.0;36
105;16;J.A. (Jacqueline) Koops-Scheele;V;294586;278;ChristenUnie;5;5;36;14;37;63;5;0.0;36
106;17;C.P. (Onno) van Schayck;M;294586;307;ChristenUnie;5;5;36;14;37;63;5;0.0;36
107;18;H.C. (Hugo) Scherff;M;294586;443;ChristenUnie;5;5;36;14;37;63;5;0.0;36
108;19;H.A. (Harmke) Vlieg-Kempe;V;294586;637;ChristenUnie;5;5;36;14;37;63;5;0.0;36
109;20;B. (Ben) Visser;M;294586;540;ChristenUnie;5;5;36;14;37;63;5;0.0;36
110;21;H.H.J. (Hugo) Veldhuizen;M;294586;142;ChristenUnie;5;5;36;14;37;63;5;0.0;36
111;22;S.J.F. (Stieneke) van der Graaf;V;294586;875;ChristenUnie;5;5;36;14;37;63;5;0.0;36
112;23;H.J. (Hermen) Vreugdenhil;M;294586;236;ChristenUnie;5;5;36;14;37;63;5;0.0;36
113;24;P. (Piet) Adema;M;294586;502;ChristenUnie;5;5;36;14;37;63;5;0.0;36
114;25;A.P. (Arjan) Beekman;M;294586;941;ChristenUnie;5;5;36;14;37;63;5;0.0;36
115;26;J.C.R. (Jurgen) van Houdt;M;294586;370;ChristenUnie;5;5;36;14;37;63;5;0.0;36
116;27;R. (Remco) van Mulligen;M;294586;216;ChristenUnie;5;5;36;14;37;63;5;0.0;36
117;28;H.A.C. (Jet) Weigand-Timmer;V;294586;164;ChristenUnie;5;5;36;14;37;63;5;0.0;36
118;29;R.J. (Reinier) Koppelaar;M;294586;145;ChristenUnie;5;5;36;14;37;63;5;0.0;36
119;30;J.M.J. (Janny) Joosten-Leijendekker;V;294586;244;ChristenUnie;5;5;36;14;37;63;5;0.0;36
120;31;M.H. (Mirjam) Bikker;V;294586;298;ChristenUnie;5;5;36;14;37;63;5;0.0;36
121;32;P. (Pieter) Plug;M;294586;267;ChristenUnie;5;5;36;14;37;63;5;0.0;36
122;33;G. (Bert) Koops;M;294586;251;ChristenUnie;5;5;36;14;37;63;5;0.0;36
123;34;J.M. (Martin) Schuurman;M;294586;124;ChristenUnie;5;5;36;14;37;63;5;0.0;36
124;35;K. (Klaas) Harink;M;294586;254;ChristenUnie;5;5;36;14;37;63;5;0.0;36
125;36;R.A. (Reinier) van Hoffen;M;294586;116;ChristenUnie;5;5;36;14;37;63;5;0.0;36
126;37;R.A. (Ron) de Rover;M;294586;207;ChristenUnie;5;5;36;14;37;63;5;0.0;36
127;38;M.J. (Marjolein) Busstra;V;294586;140;ChristenUnie;5;5;36;14;37;63;5;0.0;36
