;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;# stemmen partij peiling;man-vrouw stemmen percentage peiling
90;1;A. (Arie) Slob;M;308785;229664;ChristenUnie;5;5;36;14;37;63;5;1.0;311186.0;0.5
91;2;J.S. (Joël) Voordewind;M;308785;13877;ChristenUnie;5;5;36;14;37;63;5;1.0;311186.0;0.5
92;3;C.J. (Carola) Schouten;V;308785;16507;ChristenUnie;5;5;36;14;37;63;5;1.0;311186.0;0.5
93;4;G.M. (Gert-Jan) Segers;M;308785;2992;ChristenUnie;5;5;36;14;37;63;5;1.0;311186.0;0.5
94;5;R.K. (Carla) Dik-Faber;V;308785;2604;ChristenUnie;5;5;36;14;37;63;5;1.0;311186.0;0.5
95;6;E.E.W. (Eppo) Bruins;M;308785;1152;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
96;7;H. (Herman) Wegter;M;308785;4672;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
97;8;A. (Anja) Haga;V;308785;2262;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
98;9;I.S. (Ixora) Balootje;V;308785;2111;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
99;10;A. (Ard) Kleijer;M;308785;923;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
100;11;J. (Jan) de Wit;M;308785;457;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
101;12;M.A. (Martine) Vonk;V;308785;1230;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
102;13;B.D. (Bert) Tijhof;M;308785;1338;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
103;14;P. (Paul) Blokhuis;M;308785;615;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
104;15;A.B.M. (Arnout) van Kempen;M;308785;370;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
105;16;J.A. (Jacqueline) Koops-Scheele;V;308785;278;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
106;17;C.P. (Onno) van Schayck;M;308785;307;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
107;18;H.C. (Hugo) Scherff;M;308785;443;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
108;19;H.A. (Harmke) Vlieg-Kempe;V;308785;637;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
109;20;B. (Ben) Visser;M;308785;540;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
110;21;H.H.J. (Hugo) Veldhuizen;M;308785;142;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
111;22;S.J.F. (Stieneke) van der Graaf;V;308785;875;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
112;23;H.J. (Hermen) Vreugdenhil;M;308785;236;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
113;24;P. (Piet) Adema;M;308785;502;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
114;25;A.P. (Arjan) Beekman;M;308785;941;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
115;26;J.C.R. (Jurgen) van Houdt;M;308785;370;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
116;27;R. (Remco) van Mulligen;M;308785;216;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
117;28;H.A.C. (Jet) Weigand-Timmer;V;308785;164;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
118;29;R.J. (Reinier) Koppelaar;M;308785;145;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
119;30;J.M.J. (Janny) Joosten-Leijendekker;V;308785;244;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
120;31;M.H. (Mirjam) Bikker;V;308785;298;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
121;32;P. (Pieter) Plug;M;308785;267;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
122;33;G. (Bert) Koops;M;308785;251;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
123;34;J.M. (Martin) Schuurman;M;308785;124;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
124;35;K. (Klaas) Harink;M;308785;254;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
125;36;R.A. (Reinier) van Hoffen;M;308785;116;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
126;37;R.A. (Ron) de Rover;M;308785;207;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
127;38;M.J. (Marjolein) Busstra;V;308785;140;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
128;39;S.J. (Simone) Kennedy-Doornbos;V;308785;175;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
129;40;A.J. (Arne) Schaddelee;M;308785;168;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
130;41;A. (André) Oldenkamp;M;308785;103;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
131;42;J.J. (Jaap) van Ginkel;M;308785;145;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
132;43;B. (Bart) Jaspers Faijer;M;308785;265;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
133;44;E.W. (Ed) Anker;M;308785;225;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
134;45;J.A. (Jantien) Fröling-Kok;V;308785;184;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
135;46;F.J. (Freek) Dommerholt;M;308785;202;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
136;47;F.C. (Frank) Visser;M;308785;245;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
137;48;D.G. (Dick) Schutte;M;308785;141;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
138;49;O.E. (Orlando) Bottenbley;M;308785;2333;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
139;50;A. (Arie) van der Veer;M;308785;1929;ChristenUnie;5;5;36;14;37;63;5;0.0;311186.0;0.5
140;1;A. (Alexander) Pechtold;M;679327;586454;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
141;2;S. (Stientje) van Veldhoven-van der Meer;V;679327;71170;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
142;3;W. (Wouter) Koolmees;M;679327;10413;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
143;4;K. (Kees) Verhoeven;M;679327;3594;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
144;5;V.A. (Vera) Bergkamp;V;679327;15387;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
145;6;A.G. (Gerard) Schouw;M;679327;1435;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
146;7;P.H. (Paul) van Meenen;M;679327;1802;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
147;8;S.P.R.A. (Steven) van Weyenberg;M;679327;989;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
148;9;P.A. (Pia) Dijkstra;V;679327;24886;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
149;10;M.A. (Magda) Berndsen-Jansen;V;679327;2472;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
150;11;S.W. (Sjoerd Wiemer) Sjoerdsma;M;679327;1569;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
151;12;W. (Wassila) Hachchi;V;679327;4737;D66;12;11;32;17;58;42;11;1.0;684609.2;0.5
152;13;J.C.M. (Judith) Swinkels;V;679327;2151;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
153;14;S. (Salima) Belhaj;V;679327;2345;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
154;15;M. (Maarten) Groothuizen;M;679327;1264;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
155;16;M. (Michiel) Verkoulen;M;679327;1086;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
156;17;F.M. (Femke) Dingemans;V;679327;1903;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
157;18;T. (Ton) Monasso;M;679327;510;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
158;19;J.C.M. (Jacqueline) Versteeg;V;679327;811;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
159;20;P.J.L.M. (Paul) de Beer;M;679327;890;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
160;21;T. (Thessa) van der Windt;V;679327;838;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
161;22;B.L. (Bart) Vink;M;679327;485;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
162;23;G. (Gökhan) Çoban;M;679327;1625;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
163;24;E.J. (Eelco) Keij;M;679327;1620;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
164;25;G.J.P.M. (Guido) Corten;M;679327;1252;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
165;26;F.C. (Frank) van Oirschot;M;679327;214;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
166;27;S. (Sina) Salim;M;679327;377;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
167;28;J.D. (Doede) de Vries;M;679327;1627;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
168;29;A.G.W. (Anneke) Groen;V;679327;478;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
169;30;H.M. (Hélène) Steenhoff;V;679327;243;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
170;31;T.C. (Thomas) Walder;M;679327;649;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
171;32;B. (Bart) van Grevenhof;M;679327;144;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
172;33;P.W.L. (Pim) de Kuijer;M;679327;172;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
173;34;C.J. (Caecilia) van Peski;V;679327;460;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
174;35;S.T. (Sabine) Verschoor;V;679327;455;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
175;36;M.A. (Michiel) Rijsberman;M;679327;236;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
176;37;J.C. (Joost) Koomen;M;679327;165;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
177;38;B.T. (Bastiaan) Winkel;M;679327;210;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
178;39;D.C. (Dilia) Leitner;V;679327;210;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
179;40;R.J. (Robert) van Asten;M;679327;256;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
180;41;E. (Ellenus) Venema;M;679327;358;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
181;42;J.C. (Joris) Visser;M;679327;193;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
182;43;H. (Huub) Halsema;M;679327;300;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
183;44;G.J. (Gijs) van Loef;M;679327;140;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
184;45;C.W. (Kees) de Zeeuw;M;679327;236;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
185;46;L. (Laurens) Verspuij;M;679327;162;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
186;47;P.F. (Pieter) de Groene;M;679327;160;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
187;48;L.J. (Linda) Carton;V;679327;474;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
188;49;J.C. (Rineke) Gieske-Mastenbroek;V;679327;2367;D66;12;11;32;17;58;42;11;0.0;684609.2;0.5
189;1;J.C.M. (Jolande) Sap;V;247028;171971;GROENLINKS;4;4;24;18;52;48;4;1.0;248948.8;0.5
190;2;A. (Bram) van Ojik;M;247028;4639;GROENLINKS;4;4;24;18;52;48;4;1.0;248948.8;0.5
191;3;L. (Liesbeth) van Tongeren;V;247028;10205;GROENLINKS;4;4;24;18;52;48;4;1.0;248948.8;0.5
192;4;J.F. (Jesse) Klaver;M;247028;3351;GROENLINKS;4;4;24;18;52;48;4;1.0;248948.8;0.5
193;5;L.G.J. (Linda) Voortman;V;247028;4477;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
194;6;H.J. (Rik) Grashoff;M;247028;1764;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
195;7;A. (Arjan) El Fassed;M;247028;1481;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
196;8;C.N. (Niels) van den Berge;M;247028;488;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
197;9;C.E. (Corinne) de Jonge van Ellemeet;V;247028;1127;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
198;10;T. (Tofik) Dibi;M;247028;5400;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
199;11;P. (Paulus) de Wilt;M;247028;248;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
200;12;H. (Hayat) Barrahmun;V;247028;1440;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
201;13;K. (Kees) Diepeveen;M;247028;282;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
202;14;A.B. (Anne) Scheltema Beduin;V;247028;714;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
203;15;D. (Dirk) van den Bosch;M;247028;177;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
204;16;H. (Huri) Sahin;V;247028;860;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
205;17;E.M. (Lisa) Westerveld;V;247028;1458;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
206;18;I.M. (Inge) Vianen;V;247028;434;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
207;19;M.C. (Marry) Mos;V;247028;342;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
208;20;M.R. (Miguel) Heilbron;M;247028;326;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
209;21;V.A.M. (Volkert) Vintges;M;247028;245;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
210;22;C. (Christiaan) Kwint;M;247028;191;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
211;23;J.I. (Jan) van de Venis;M;247028;162;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
212;24;A.C. (Bert) Jongert;M;247028;169;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
213;25;C.J. (Carel) Bruring;M;247028;310;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
214;26;I. (Irona) Groeneveld;V;247028;578;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
215;27;C.T. (Karin) Dekker;V;247028;791;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
216;28;G.H. (Gea) Smith;V;247028;333;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
217;29;H.J. (Henk) Nijhof;M;247028;368;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
218;30;S.W. (Sebastiaan) van 't Erve;M;247028;137;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
219;31;R. (Ruud) Pet;M;247028;172;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
220;32;P. (Pascalle) Georgopoulos;V;247028;226;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
221;33;A. (Ahmed) Harika;M;247028;419;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
222;34;M. (Thijs) de la Court;M;247028;179;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
